"Timestamp","Which course are you currently enrolled in?","What motivated you to seek a computing class at CCM?","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing related club]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming)]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Afterschool computing-related camp/program]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Summer computing related camp/program]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [An AP computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [A dual enrollment computing class]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend influence]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend working in the computing field]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [High school teacher or guidance counselor]","To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Employer influence]","How did you hear about County College of Morris (check all that apply)?","To what extent did the following impact your decision to attend County College of Morris? [Affordable cost]","To what extent did the following impact your decision to attend County College of Morris? [Location/convenience]","To what extent did the following impact your decision to attend County College of Morris? [Choice of programs]","To what extent did the following impact your decision to attend County College of Morris? [Online offerings]","To what extent did the following impact your decision to attend County College of Morris? [Family/friend referral]","To what extent did the following impact your decision to attend County College of Morris? [Faculty/staff]","To what extent did the following impact your decision to attend County College of Morris? [College reputation]","To what extent did the following impact your decision to attend County College of Morris? [Scholarships]","To what extent did the following impact your decision to attend County College of Morris? [Transfer student]","To what extent did the following impact your decision to attend County College of Morris? [Small class sizes]","To what extent did the following impact your decision to attend County College of Morris? [Extra curricula opportunities]","What degree program are you currently enrolled in?","Did you receive information about our computing course from any of the following sources? [High school guidance counselor]","Did you receive information about our computing course from any of the following sources? [CCM Information Technologies Website]","Did you receive information about our computing course from any of the following sources? [CCM Admissions]","Did you receive information about our computing course from any of the following sources? [CCM advisor/counselor]","Did you receive information about our computing course from any of the following sources? [Employer]","Did you receive information about our computing course from any of the following sources? [Other]","On a scale of 1 to 5, with 1 being not at all interested and 5 being extremely interested, how interested are you taking more courses in Computer Science, Information Technology or Game Development?","If you answered that you were interested in taking more computing classes, which ones interest you most? (check all that apply)","Gender","Race/ethnicity","Age "
"2020/07/25 11:45:59 AM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","No","Yes","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","Family member or friend;High School","No Impact","High Impact","High Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Radiography","No","No","No","No","No","No","2","","Woman","White/Caucasian","21-24"
"2020/07/25 12:44:38 PM EST","CMP 135 Computer Concepts with Applications","It’s a required class for the degree I’m seeking","No","No","Yes","No","No","No","High Impact","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","No Impact","Some Impact","No Impact","High School","High Impact","High Impact","High Impact","No Impact","No Impact","No Impact","High Impact","Some Impact","No Impact","No Impact","No Impact","Criminal Justice","No","No","Yes","Yes","No","No","2","","Man","Hispanic or Latino","19-20"
"2020/09/08 10:00:50 AM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","Not Sure","No","No","No","Yes","Yes","No Impact","No Impact","High Impact","High Impact","Some Impact","Some Impact","High Impact","N/A","N/A","High Impact","No Impact","Billboard","Some Impact","No Impact","No Impact","No Impact","Some Impact","High Impact","N/A","High Impact","Some Impact","No Impact","Some Impact","Public Health","Yes","No","No","No","No","No","5","Web Development","Woman","White/Caucasian","35-64"
"2020/09/09 7:56:06 AM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Web site;Billboard;Social Media;Family member or friend;Current student;High School","High Impact","High Impact","Some Impact","High Impact","No Impact","Some Impact","High Impact","Some Impact","High Impact","High Impact","N/A","Child and Family Studies","No","No","No","No","No","Yes","3","","Woman","White/Caucasian","21-24"
"2020/09/09 8:52:55 AM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High School","Some Impact","Some Impact","Some Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Criminal Justice","No","No","No","Don't recall","No","No","2","","Man","Hispanic or Latino;White/Caucasian","19-20"
"2020/09/09 12:36:15 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;Career Change;Financial","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend","High Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Liberal Arts and Sciences","No","No","No","No","No","No","3","CyberSecurity;App Development;Computer Programming;Game Design","Woman","White/Caucasian","19-20"
"2020/09/09 1:16:25 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","Not Sure","Not Sure","Not Sure","Not Sure","Not Sure","Not Sure","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Current student","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Child and Family Studies","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","2","Machine Learning/Artificial Intelligence","Woman","White/Caucasian","25-34"
"2020/09/09 1:52:08 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend;Current student;High School","High Impact","High Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Comp Aided Drafting Tech","No","No","No","No","No","No","2","Game Design;Hardware Installation & Repair","Man","White/Caucasian","25-34"
"2020/09/09 2:19:00 PM EST","CMP 126 Computer Technology and Applications","Curiosity","No","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","High Impact","Some Impact","Some Impact","N/A","Family member or friend","High Impact","High Impact","High Impact","Some Impact","Some Impact","No Impact","High Impact","Some Impact","No Impact","Some Impact","No Impact","Not in a degree program","No","No","No","No","No","No","4","Web Development;CyberSecurity;Machine Learning/Artificial Intelligence;Hardware Installation & Repair","Man","White/Caucasian","19-20"
"2020/09/09 2:30:01 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","Family member or friend;High School","High Impact","High Impact","Some Impact","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Liberal Arts and Sciences","No","No","Don't recall","Yes","No","No","2","Data Analytics","Woman","White/Caucasian","19-20"
"2020/09/09 3:08:54 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","No Impact","Family member or friend","High Impact","High Impact","No Impact","High Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Child and Family Studies","No","No","No","No","No","No","1","","Woman","Black/African American","25-34"
"2020/09/09 4:28:49 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Current student","No Impact","No Impact","High Impact","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Criminal Justice","No","No","No","No","No","Yes","1","","Man","White/Caucasian","21-24"
"2020/09/09 5:02:41 PM EST","CMP 126 Computer Technology and Applications","To keep current in computing skills;Personal Enrichment;Curiosity","Yes","No","No","No","No","Yes","High Impact","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","No Impact","High Impact","N/A","Family member or friend","High Impact","Some Impact","Some Impact","N/A","Some Impact","N/A","Some Impact","N/A","N/A","Some Impact","N/A","Not in a degree program","No","No","No","Yes","No","No","3","App Development;Machine Learning/Artificial Intelligence;Computer Programming;Game Design","Man","White/Caucasian","18 and younger"
"2020/09/09 5:14:53 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","Yes","No","No","No","No","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","High School","High Impact","Some Impact","Some Impact","No Impact","High Impact","No Impact","High Impact","No Impact","No Impact","High Impact","No Impact","Child and Family Studies","No","No","No","No","No","No","2","","Woman","Hispanic or Latino;White/Caucasian","19-20"
"2020/09/09 5:22:19 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","Yes","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Social Media;Family member or friend;Current student;Alumni;High School","High Impact","High Impact","High Impact","No Impact","High Impact","No Impact","High Impact","No Impact","No Impact","No Impact","No Impact","Early Childhood Education","No","No","No","Yes","No","No","1","","Man","White/Caucasian","21-24"
"2020/09/09 5:39:13 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","No","Not Sure","No","Yes","No","No","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","Web site;Billboard;Current student","Some Impact","High Impact","High Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Nursing","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","1","","Woman","Hispanic or Latino","25-34"
"2020/09/09 6:29:39 PM EST","CMP 126 Computer Technology and Applications","Career requirement","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend;Current student;Alumni;High School","High Impact","High Impact","High Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","High Impact","No Impact","No Impact","Criminal Justice","No","No","Yes","No","No","Yes","4","Computer Programming;Game Design","Man","Asian","18 and younger"
"2020/09/09 6:39:46 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","Yes","No","No","No","Yes","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","Family member or friend;Current student;High School","High Impact","High Impact","High Impact","No Impact","Some Impact","Some Impact","High Impact","No Impact","No Impact","High Impact","No Impact","Human Services ","Yes","No","Yes","Yes","No","No","3","App Development","Woman","Hispanic or Latino","19-20"
"2020/09/09 6:40:55 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","Yes","No","No","No","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Current student","Some Impact","Some Impact","Some Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Nursing","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","3","App Development","Woman","White/Caucasian","25-34"
"2020/09/09 7:20:52 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking;To keep current in computing skills","No","No","No","Yes","No","No","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","No Impact","Web site;Family member or friend;Current student;High School","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","High Impact","No Impact","No Impact","No Impact","Some Impact","Fine Arts Fashion Merchandising ","Don't recall","No","No","Yes","No","No","2","Game Design","Woman","Asian","21-24"
"2020/09/09 7:34:28 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","Yes","No","No","Yes","No","Not Sure","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Web site;Social Media;Family member or friend;Current student;Alumni;High School","High Impact","Some Impact","High Impact","Some Impact","High Impact","High Impact","High Impact","N/A","High Impact","High Impact","High Impact","Visual Fine Arts","No","No","Yes","Yes","No","No","2","Game Design","Woman","White/Caucasian","18 and younger"
"2020/09/09 7:59:40 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","No","No","Yes","Yes","No","Yes","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Web site","High Impact","High Impact","High Impact","High Impact","Some Impact","Some Impact","High Impact","Some Impact","No Impact","High Impact","High Impact","Political Science","No","No","No","Yes","No","No","3","Hardware Installation & Repair","Man","White/Caucasian","19-20"
"2020/09/09 9:03:54 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking;Curiosity","No","No","Yes","No","No","No","Some Impact","N/A","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Web site;Billboard;Social Media;Family member or friend","High Impact","High Impact","Some Impact","Some Impact","No Impact","No Impact","Some Impact","No Impact","No Impact","Some Impact","Some Impact","Hospitality Management ","Don't recall","Yes","Yes","Don't recall","Don't recall","Don't recall","3","CyberSecurity;App Development;Hardware Installation & Repair","Woman","White/Caucasian","19-20"
"2020/09/09 9:28:12 PM EST","CMP 126 Computer Technology and Applications","advisor told me to take it","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Current student;High School","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Not in a degree program","No","No","No","No","No","No","2","","Woman","White/Caucasian","18 and younger"
"2020/09/10 8:45:28 AM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking;Career Change","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High School","Some Impact","Some Impact","Some Impact","No Impact","Some Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Nursing","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","1","","Woman","White/Caucasian","21-24"
"2020/09/10 10:01:42 AM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","Current student","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Liberal Arts","No","No","No","No","No","No","1","","Prefer not to say","Choose not to reply","21-24"
"2020/09/10 10:03:00 AM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking;Career Change","No","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High School","Some Impact","Some Impact","Some Impact","No Impact","Some Impact","No Impact","Some Impact","No Impact","No Impact","No Impact","No Impact","Nursing","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","Don't recall","1","","Woman","White/Caucasian","21-24"
"2020/09/10 12:15:00 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","Yes","Yes","No","Yes","No","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Some Impact","High Impact","High Impact","Family member or friend;High School","High Impact","High Impact","No Impact","No Impact","High Impact","High Impact","Some Impact","N/A","No Impact","High Impact","N/A","Hospitality","No","No","Yes","Yes","No","No","1","Game Design","Woman","White/Caucasian","19-20"
"2020/09/10 1:23:55 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","Yes","No","No","No","No","Yes","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend;High School","High Impact","High Impact","High Impact","High Impact","Some Impact","Some Impact","High Impact","High Impact","High Impact","High Impact","High Impact","Hospitality ","No","No","Yes","Yes","No","No","2","","Woman","White/Caucasian","19-20"
"2020/09/10 2:04:32 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","Yes","No","No","Yes","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","High Impact","No Impact","Web site;Billboard;Social Media;Community Event;Family member or friend;High School","High Impact","High Impact","High Impact","High Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","Broadcasting Arts and Technology","Yes","No","Yes","Yes","No","No","3","","Woman","Hispanic or Latino;White/Caucasian","18 and younger"
"2020/09/10 2:09:22 PM EST","CMP 101 Computer Information Literacy","It’s a required class for the degree I’m seeking","No","No","No","No","No","No","Some Impact","Some Impact","Some Impact","Some Impact","Some Impact","N/A","N/A","N/A","N/A","N/A","N/A","High School","High Impact","High Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Not in a degree program","No","No","No","No","No","No","2","Game Design","Man","White/Caucasian","19-20"
"2020/09/10 2:24:40 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Personal Enrichment;Curiosity","Yes","No","No","No","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Family member or friend;Current student;High School","High Impact","High Impact","High Impact","No Impact","High Impact","Some Impact","High Impact","No Impact","No Impact","High Impact","High Impact","Communication","No","No","No","No","No","Yes","3","Web Development;App Development;Data Analytics;Computer Programming","Woman","White/Caucasian","21-24"
"2020/09/10 5:11:39 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking","Not Sure","No","No","No","No","No","Some Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","High School","High Impact","High Impact","High Impact","High Impact","High Impact","Some Impact","Some Impact","High Impact","Some Impact","Some Impact","Some Impact","Early Childhood Education","No","Yes","Yes","Yes","No","No","1","","Woman","White/Caucasian","19-20"
"2020/09/10 5:34:37 PM EST","CMP 126 Computer Technology and Applications","It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Change;Professional Development","No","No","No","Yes","No","No","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","No Impact","Some Impact","Some Impact","No Impact","No Impact","Web site;Billboard;Social Media;Family member or friend;Current student;Alumni","Some Impact","High Impact","Some Impact","High Impact","High Impact","No Impact","High Impact","No Impact","No Impact","No Impact","No Impact","Biology","No","No","No","No","No","No","3","CyberSecurity;Computer Programming;Hardware Installation & Repair","Woman","White/Caucasian","25-34"
